"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"GenomicStudy","","","",0,*,"","","","","Genomic Study","A Genomic Study is a set of files and procedures that are performed to generate and analyze genomic data.","","","","","","","","","",,,,,"",,,,"DomainResource",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Entity. Role, or Act"
"GenomicStudy.id","","","",0,1,"","","Y","string {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"GenomicStudy.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GenomicStudy.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GenomicStudy.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"GenomicStudy.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"GenomicStudy.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"GenomicStudy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"GenomicStudy.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"GenomicStudy.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","An identifier for this genomic study","An identifier for this genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.identifier",0,1,"",""
"GenomicStudy.status","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The status of the genomic study","The status of the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.status",0,1,"",""
"GenomicStudy.type","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The type of the study","The type of the study","","","","","","","","","",,,,,"",,,,"GenomicStudy.type",0,1,"",""
"GenomicStudy.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The subject of the genomic study","The subject of the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.subject",1,1,"",""
"GenomicStudy.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","The healthcare encounter with which this genomics study is associated","The healthcare encounter with which this genomics study is associated","","","","","","","","","",,,,,"",,,,"GenomicStudy.encounter",0,1,"",""
"GenomicStudy.startDate","","","",0,1,"","","","dateTime {[]} {[]}
","When the genomic study was started","When the genomic study was started","","","","","","","","","",,,,,"",,,,"GenomicStudy.startDate",0,1,"",""
"GenomicStudy.basedOn","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest], CanonicalType[http://hl7.org/fhir/StructureDefinition/Task]]}
","Event resources that the genomic study is based on","Event resources that the genomic study is based on","","","","","","","","","",,,,,"",,,,"GenomicStudy.basedOn",0,*,"",""
"GenomicStudy.referrer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Healthcare professional(s) who requested or referred the genomic study","Healthcare professional(s) who requested or referred the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.referrer",0,1,"",""
"GenomicStudy.interpreter","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Healthcare professional(s) who interpreted the genomic study","Healthcare professional(s) who interpreted the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.interpreter",0,*,"",""
"GenomicStudy.endpoint","","","",0,*,"","","","Endpoint {[]} {[]}
","The endpoint for the genomic study","The endpoint for the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.endpoint",0,*,"",""
"GenomicStudy.reason[x]","","","",0,*,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation]]}","Why the genomic study was performed","Why the genomic study was performed","","","","","","","","","",,,,,"",,,,"GenomicStudy.reason[x]",0,*,"",""
"GenomicStudy.note","","","",0,*,"","","","Annotation {[]} {[]}
","User-defined notes related to the genomic study","User-defined notes related to the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.note",0,*,"",""
"GenomicStudy.description","","","",0,1,"","","","string {[]} {[]}
","A description of the genomic study","A description of the genomic study","","","","","","","","","",,,,,"",,,,"GenomicStudy.description",0,1,"",""
"GenomicStudy.genomicAnalysis","","","",0,*,"","","","BackboneElement {[]} {[]}
","Genomic Analysis","Genomic Analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis",0,*,"",""
"GenomicStudy.genomicAnalysis.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier(s) for the analysis","Identifier(s) for the analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.identifier",0,*,"",""
"GenomicStudy.genomicAnalysis.methodType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of the method(s) used in the analysis","Type of the method(s) used in the analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.methodType",0,*,"",""
"GenomicStudy.genomicAnalysis.protocolDefinition","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ActivityDefinition]]}
","The defined protocol that describes the analysis","The defined protocol that describes the analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.protocolDefinition",0,*,"",""
"GenomicStudy.genomicAnalysis.protocolPerformed","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure]]}
","The protocol that was actually performed for the analysis","The protocol that was actually performed for the analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.protocolPerformed",0,*,"",""
"GenomicStudy.genomicAnalysis.device","","","",0,*,"","","","Device {[]} {[]}
","The device(s) used for the analysis (e.g., sequencers)","The device(s) used for the analysis (e.g., sequencers)","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.device",0,*,"",""
"GenomicStudy.genomicAnalysis.genomicFile","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Genomic data file(s) used in the analysis","Genomic data file(s) used in the analysis","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicFile",0,*,"",""
"GenomicStudy.genomicAnalysis.genomicAssay","","","",0,*,"","","","BackboneElement {[]} {[]}
","Genomic Assay","Genomic Assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay",0,*,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier(s) for the assay","Identifier(s) for the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.identifier",0,*,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.specimen","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Specimen]]}
","The specimen used in the assay","The specimen used in the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.specimen",0,1,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The subject of the assay","The subject of the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.subject",0,1,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.date","","","",0,1,"","","","dateTime {[]} {[]}
","The date of the assay","The date of the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.date",0,1,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.regionStudied","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","Genomic region studied by the assay","Genomic region studied by the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.regionStudied",0,1,"",""
"GenomicStudy.genomicAnalysis.genomicAssay.genomicFile","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/DocumentReference]]}
","File(s) containing genomic data generated by the assay","File(s) containing genomic data generated by the assay","","","","","","","","","",,,,,"",,,,"GenomicStudy.genomicAnalysis.genomicAssay.genomicFile",0,*,"",""
